"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"PinHeader_1x02_P2.54mm_Vertical";;;
2;"R5";"R_0201_0603Metric";1;"R_0201_0603Metric";;C25519;
3;"C5,C6,C7,C3,C8,C3,C7,C4,C3";"C_0402_1005Metric";9;"100nF";;C159815;
4;"J2,J1";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20_Pin";;;
5;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;C521580;
6;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
7;"R1,R2";"R_0805_2012Metric";2;"27";;C413252;
8;"C2,C1";"C_0603_1608Metric";2;"1uF";;C15849;
9;"R3,R4";"R_0603_1608Metric";2;"5.1k";;C403509;
10;"U3";"Texas_X2SON-4_1x1mm_P0.65mm";1;"TLV74133PDQNR";;C485136;
11;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;C97521;
12;"J3";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle";;C2988369;
